EBELN,INVOICE_DATE,INVOICE_WEEK,INVOICE_MONTH,INVOICE_QUARTER,VENDOR_CODE,VENDOR_NAME,VENDOR_COUNTRY,MATERIAL_CODE,MATERIAL_TYPE,PUR_ORG,PUR_ORG_NAME,PUR_GRP,PUR_GRP_NAME,LOCAL_CURRENCY,INVOICE_COUNT,TOTAL_SPEND
4500000210,2024-07-27,2024w30,Jul-2024,2024-3,,,,C0000142,HALB,P005,,J03,Japan-Electronic,JPY,2,2129.6
4500000206,2024-07-26,2024w30,Jul-2024,2024-3,,,,C0000142,HALB,P004,,G03,Germany-Electronic,EUR,2,1039.4
4500000202,2024-07-26,2024w30,Jul-2024,2024-3,,,,C0000142,HALB,P003,,C03,Canada -Electronic,CAD,2,1512.0
4500000198,2024-07-25,2024w30,Jul-2024,2024-3,,,,C0000142,HALB,P001,,US3,US East-Electronic,USD,4,1792.0
4500000226,2024-08-16,2024w33,Aug-2024,2024-3,,,,C0000142,HALB,P002,,US6,US West-Electronic,USD,2,896.0
4500000205,2024-07-26,2024w30,Jul-2024,2024-3,,,,C0000060,FERT,P004,,G03,Germany-Electronic,EUR,2,12766.0
4500000197,2024-07-22,2024w30,Jul-2024,2024-3,,,,C0000060,FERT,P001,,US3,US East-Electronic,USD,4,12000.0
4500000098,2024-07-04,2024w27,Jul-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,320.0
4500000099,2024-07-04,2024w27,Jul-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,400.0
4500000100,2024-07-04,2024w27,Jul-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,200.0
4500000114,2024-07-05,2024w27,Jul-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000228,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,400.0
4500000276,2024-08-24,2024w34,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,101KTEST,ROH,P001,US East Pur org,P01,US East Buyer,USD,4,410.0
4500000243,2024-08-23,2024w34,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2080.0
4500000377,2024-08-29,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2080.0
4500000314,2024-08-29,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,,US1,US East-Packaged G,USD,4,0.0
4500001943,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2640.0
4500002075,2024-09-26,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000091,ROH,P001,US East Pur org,US2,US East-Perishable,USD,4,2720.0
4500001923,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2640.0
4500002037,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
4500001924,2024-09-24,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,,US1,US East-Packaged G,USD,4,720.0
4500002027,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
